Targeted.Region.ID	Exon.Number	Gene.Sym	Chr	OriStCoordinate	OriEndCoordinate	Mean.of.LogRatio	Adjusted.Mean.of.LogRatio	SD.of.LogRatio	Median.of.LogRatio	number.bases	P.Value	Adjusted.P.Value	gain.loss	tumour.rd	normal.rd	tumour.rd.ori	normal.rd.ori	MinLogRatio	MaxLogRatio	BinNumber
1	0	unknown	chr1	30210	30330	1.023	0.52506693830762	0.132	1.042	120	0.26759316879859	0.999890601729745	gain	345.362	170.066	362.742	161.208	0.776	1.28	3
2	0	unknown	chr1	30552	30672	0.609	0.0518853522757436	0.141	0.629	120	0.91276600374536	0.999890601729745	gain	344.364	223.86	361.692	212.35	0.288	0.863	3
3	0	unknown	chr1	69068	70028	0.282	-0.293911488197883	0.274	0.267	960	0.534887559703213	0.999890601729745	loss	323.255	262.844	339.489	249.412	-1.041	1.01	3
4	0	unknown	chr1	367647	368607	-0.105	-0.314469098589645	0.335	-0.037	960	0.506711036569395	0.999890601729745	loss	156.322	164.111	163.901	155.547	-1.007	0.791	3
5	0	unknown	chr1	565985	566465	0.889	-1.14841146014396	0.386	1.036	480	0.0153190559202788	0.999890601729745	loss	4428.877	2085.165	4657.971	1981.91	-0.682	1.313	3
6	0	unknown	chr1	621084	622044	-0.086	-0.343191956485668	0.355	-0.107	960	0.468689580825223	0.999890601729745	loss	167.042	179.606	175.176	170.278	-0.708	1.292	3
7	0	unknown	chr1	861236	861476	-0.11	0.595990258442925	0.472	-0.001	239	0.370231113141182	0.999890601729745	gain	35.684	35.211	37.008	33	-1.479	0.492	2
8	0	unknown	chr1	865564	865744	0.292	1.51481038441071	0.511	0.348	141	NA	NA	gain	16.325	13.928	16.645	12.766	-0.596	1.199	1
9	0	unknown	chr1	866323	866563	1.04	2.41571746279329	0.517	1.13	140	NA	NA	gain	15.772	7.743	16.064	6.886	0.223	2.188	1
10	0	unknown	chr1	871093	871333	-0.373	0.58468683690578	0.667	-0.09	191	0.47010372777476	0.999890601729745	gain	21.132	25.695	21.702	23.953	-2.748	0.453	1
11	0	unknown	chr1	874343	874583	-0.233	0.772504234882882	0.751	-0.42	240	0.35597170063458	0.999890601729745	gain	20.287	22.992	20.813	21.383	-1.659	1.327	1
12	0	unknown	chr1	874626	874866	-1.482	0.0728733838796349	1.826	-0.695	88	NA	NA	gain	6.474	11.03	6.284	10.011	-4.462	0.71	1
13	0	unknown	chr1	876484	876724	0.105	1.55281388568124	0.208	0.059	54	NA	NA	gain	10.817	10.064	10.852	9.093	-0.414	0.418	1
16	0	unknown	chr1	877887	878487	-0.553	0.9248407728963	0.998	-0.535	153	NA	NA	gain	8.236	11.637	8.137	10.588	-3.288	1.339	1
17	0	unknown	chr1	878574	878814	-0.285	0.985362675679861	0.963	-0.07	237	NA	NA	gain	12.57	15.403	12.696	14.169	-3.017	1.918	1
18	0	unknown	chr1	879012	879589	-1.009	0.0770309048447071	1.051	-0.994	450	NA	NA	gain	14.501	23.4	14.727	21.771	-4.714	1.453	1
19	0	unknown	chr1	880006	880246	-1.165	0.403051665193526	0.876	-1.488	55	NA	NA	gain	5.478	11.65	5.236	10.6	-1.72	0.928	1
20	0	unknown	chr1	880844	881084	0.379	0.95277417170365	0.49	0.304	240	0.105936177058394	0.999890601729745	gain	48.681	39.471	50.679	37.05	-0.267	1.934	2
21	0	unknown	chr1	881488	881728	-0.77	-0.00212448266847742	0.519	-0.771	240	0.997580601922143	0.999890601729745	loss	24.367	39.655	25.104	37.225	-1.875	0.236	2
22	0	unknown	chr1	881732	881972	-0.716	0.331220267830779	0.727	-0.744	233	NA	NA	gain	16.809	23.595	17.155	21.957	-2.37	0.497	1
23	0	unknown	chr1	883440	883680	-1.229	0.138743748943012	0.458	-1.096	200	NA	NA	gain	7.317	16.509	7.17	15.22	-2.08	-0.14	1
24	0	unknown	chr1	883805	884045	-0.382	0.637734299492945	1.011	-0.629	238	0.45044536900185	0.999890601729745	gain	18.22	24.056	18.639	22.395	-2.01	1.833	1
25	0	unknown	chr1	886441	886681	-0.726	0.609309703077772	0.892	-0.541	217	NA	NA	gain	10.257	14.877	10.263	13.668	-3.288	0.425	1
26	0	unknown	chr1	887328	887568	-0.858	0.126718424544715	0.638	-0.802	240	0.877921999748471	0.999890601729745	gain	16.08	28.707	16.387	26.817	-2.016	0.24	1
27	0	unknown	chr1	887765	888005	-0.585	0.239673463837259	0.906	-0.522	240	0.743751410767003	0.999890601729745	gain	24.537	33.765	25.283	31.625	-5.2	0.837	2
28	0	unknown	chr1	888490	888730	-0.777	0.4144770306278	0.672	-0.661	184	NA	NA	gain	12.286	19.57	12.397	18.13	-2.535	0.555	1
29	0	unknown	chr1	889096	889542	-0.822	0.0818725796632441	0.509	-0.7	398	0.91625491023036	0.999890601729745	gain	19.782	31.387	20.281	29.364	-3.209	-0.1	1
30	0	unknown	chr1	891227	891654	-0.626	-0.219593952559265	0.558	-0.624	427	0.669825142747946	0.999890601729745	loss	50.119	66.027	52.192	62.297	-1.726	0.493	2
31	0	unknown	chr1	892218	892685	-0.022	0.515646929114146	0.588	0.087	427	0.364478898799735	0.999890601729745	gain	48.416	45.143	50.4	42.443	-1.607	0.864	2
32	0	unknown	chr1	894264	894666	-0.917	0.137473154467358	1.144	-0.677	380	NA	NA	gain	16.214	23.71	16.529	22.066	-5.025	0.931	1
33	0	unknown	chr1	896621	897188	-0.833	0.168451285056679	0.866	-0.803	426	0.840039006428461	0.999890601729745	gain	16.343	27.226	16.664	25.408	-2.462	1.034	1
34	0	unknown	chr1	897195	897435	-0.224	0.771546299085395	1.042	0.125	207	0.353274230855124	0.999890601729745	gain	22.646	21.349	23.295	19.821	-4.714	0.84	1
35	0	unknown	chr1	897672	897912	-0.101	0.823586164199798	0.694	-0.321	202	0.297470969689642	0.999890601729745	gain	24.051	25.401	24.772	23.673	-1.392	1.445	1
36	0	unknown	chr1	898069	898309	-1.706	-0.266843168528375	0.729	-1.361	213	NA	NA	loss	5.437	15.744	5.192	14.493	-3.488	-0.535	1
37	0	unknown	chr1	898440	898919	-1.359	-0.0623908167021863	1.154	-1.172	456	NA	NA	loss	8.95	17.839	8.888	16.485	-5.2	0.718	1
